age,study,area,genre,nationality,painting_1_v1,painting_1_v2,painting_1_v3,painting_1_v4,painting_2_v1,painting_2_v2,painting_2_v3,painting_2_v4,painting_3_v1,painting_3_v2,painting_3_v3,painting_3_v4,painting_4_v1,painting_4_v2,painting_4_v3,painting_4_v4,painting_5_v1,painting_5_v2,painting_5_v3,painting_5_v4,painting_6_v1,painting_6_v2,painting_6_v3,painting_6_v4,painting_7_v1,painting_7_v2,painting_7_v3,painting_7_v4,painting_8_v1,painting_8_v2,painting_8_v3,painting_8_v4,painting_9_v1,painting_9_v2,painting_9_v3,painting_9_v4,painting_10_v1,painting_10_v2,painting_10_v3,painting_10_v4,painting_11_v1,painting_11_v2,painting_11_v3,painting_11_v4,painting_12_v1,painting_12_v2,painting_12_v3,painting_12_v4,painting_13_v1,painting_13_v2,painting_13_v3,painting_13_v4,painting_14_v1,painting_14_v2,painting_14_v3,painting_14_v4,painting_15_v1,painting_15_v2,painting_15_v3,painting_15_v4,painting_16_v1,painting_16_v2,painting_16_v3,painting_16_v4,painting_17_v1,painting_17_v2,painting_17_v3,painting_17_v4,painting_18_v1,painting_18_v2,painting_18_v3,painting_18_v4,painting_19_v1,painting_19_v2,painting_19_v3,painting_19_v4,painting_20_v1,painting_20_v2,painting_20_v3,painting_20_v4
22,Graduate,Engineering,Male,Chile,Fear,Contentment,Amusement,Sadness,Sadness,Amusement,Contentment,Fear,Contentment,Amusement,Fear,Sadness,Sadness,Fear,Contentment,Amusement,Amusement,Contentment,Sadness,Fear,Amusement,Contentment,Fear,Sadness,Amusement,Sadness,Contentment,Fear,Contentment,Fear,Amusement,Sadness,Sadness,Contentment,Amusement,Fear,Fear,Sadness,Contentment,Amusement,Sadness,Fear,Contentment,Amusement,Amusement,Contentment,Sadness,Fear,Contentment,Amusement,Fear,Sadness,Fear,Amusement,Sadness,Contentment,Amusement,Sadness,Contentment,Fear,Contentment,Amusement,Fear,Sadness,Fear,Sadness,Amusement,Contentment,Fear,Contentment,Sadness,Amusement,Amusement,Contentment,Fear,Sadness,Contentment,Fear,Amusement,Sadness
43,Postgraduate,Engineering,Male,Chile,Sadness,Fear,Amusement,Contentment,Amusement,Contentment,Fear,Sadness,Amusement,Contentment,Fear,Sadness,Amusement,Contentment,Fear,Sadness,Amusement,Contentment,Fear,Sadness,Amusement,Contentment,Fear,Sadness,Amusement,Contentment,Fear,Sadness,Amusement,Sadness,Contentment,Fear,Fear,Contentment,Amusement,Sadness,Amusement,Contentment,Fear,Sadness,Amusement,Contentment,Fear,Sadness,Sadness,Fear,Contentment,Amusement,Amusement,Contentment,Fear,Sadness,Amusement,Contentment,Fear,Sadness,Sadness,Fear,Contentment,Amusement,Amusement,Contentment,Fear,Sadness,Sadness,Fear,Contentment,Amusement,Amusement,Contentment,Fear,Sadness,Sadness,Fear,Contentment,Amusement,Amusement,Contentment,Fear,Sadness
33,Postgraduate,Engineering,Male,Chile,Fear,Contentment,Amusement,Sadness,Fear,Amusement,Contentment,Sadness,Amusement,Contentment,Sadness,Fear,Fear,Sadness,Contentment,Amusement,Amusement,Contentment,Sadness,Fear,Amusement,Contentment,Sadness,Fear,Contentment,Fear,Sadness,Amusement,Contentment,Fear,Amusement,Sadness,Sadness,Contentment,Amusement,Fear,Fear,Sadness,Contentment,Amusement,Fear,Sadness,Contentment,Amusement,Contentment,Amusement,Fear,Sadness,Contentment,Amusement,Fear,Sadness,Amusement,Contentment,Fear,Sadness,Amusement,Sadness,Fear,Contentment,Contentment,Amusement,Sadness,Fear,Fear,Sadness,Contentment,Amusement,Fear,Sadness,Contentment,Amusement,Amusement,Contentment,Fear,Sadness,Contentment,Fear,Amusement,Sadness
32,Postgraduate,Engineering,Male,Chile,Fear,Sadness,Amusement,Contentment,Sadness,Amusement,Contentment,Fear,Contentment,Amusement,Sadness,Fear,Fear,Sadness,Contentment,Amusement,Contentment,Amusement,Sadness,Fear,Amusement,Contentment,Sadness,Fear,Fear,Sadness,Contentment,Amusement,Contentment,Sadness,Amusement,Fear,Sadness,Amusement,Contentment,Fear,Fear,Sadness,Contentment,Amusement,Sadness,Fear,Contentment,Amusement,Amusement,Contentment,Sadness,Fear,Amusement,Contentment,Fear,Sadness,Contentment,Amusement,Fear,Sadness,Amusement,Sadness,Fear,Contentment,Contentment,Amusement,Fear,Sadness,Fear,Sadness,Amusement,Contentment,Sadness,Amusement,Fear,Contentment,Amusement,Contentment,Sadness,Fear,Fear,Sadness,Amusement,Contentment
41,Postgraduate,Engineering,Male,Chile,Fear,Contentment,Amusement,Sadness,Sadness,Amusement,Contentment,Fear,Amusement,Contentment,Sadness,Fear,Fear,Sadness,Amusement,Contentment,Amusement,Contentment,Sadness,Fear,Amusement,Contentment,Sadness,Fear,Sadness,Fear,Contentment,Amusement,Sadness,Fear,Contentment,Amusement,Sadness,Amusement,Contentment,Fear,Sadness,Fear,Contentment,Amusement,Fear,Sadness,Contentment,Amusement,Amusement,Contentment,Sadness,Fear,Contentment,Amusement,Fear,Sadness,Sadness,Amusement,Contentment,Fear,Amusement,Sadness,Fear,Contentment,Sadness,Fear,Contentment,Amusement,Fear,Sadness,Amusement,Contentment,Fear,Amusement,Sadness,Contentment,Contentment,Amusement,Sadness,Fear,Contentment,Sadness,Amusement,Fear
26,Graduate,Engineering,Male,Chile,Fear,Amusement,Contentment,Sadness,Sadness,Amusement,Contentment,Fear,Amusement,Contentment,Fear,Sadness,Fear,Sadness,Contentment,Amusement,Amusement,Contentment,Sadness,Fear,Amusement,Contentment,Sadness,Fear,Amusement,Sadness,Fear,Contentment,Amusement,Fear,Contentment,Sadness,Fear,Contentment,Amusement,Sadness,Sadness,Fear,Contentment,Amusement,Fear,Sadness,Contentment,Amusement,Amusement,Contentment,Fear,Sadness,Amusement,Contentment,Fear,Sadness,Sadness,Amusement,Fear,Contentment,Amusement,Fear,Sadness,Contentment,Amusement,Contentment,Sadness,Fear,Sadness,Fear,Contentment,Amusement,Fear,Amusement,Contentment,Sadness,Amusement,Contentment,Sadness,Fear,Sadness,Fear,Amusement,Contentment
32,Graduate,Engineering,Male,Chile,Sadness,Amusement,Contentment,Fear,Sadness,Amusement,Contentment,Fear,Contentment,Amusement,Sadness,Fear,Fear,Sadness,Contentment,Amusement,Contentment,Amusement,Sadness,Fear,Amusement,Contentment,Sadness,Fear,Sadness,Amusement,Contentment,Fear,Contentment,Fear,Amusement,Sadness,Sadness,Amusement,Contentment,Fear,Sadness,Fear,Amusement,Contentment,Fear,Sadness,Contentment,Amusement,Amusement,Contentment,Sadness,Fear,Amusement,Fear,Contentment,Sadness,Fear,Amusement,Sadness,Contentment,Amusement,Sadness,Fear,Contentment,Contentment,Amusement,Fear,Sadness,Fear,Sadness,Contentment,Amusement,Fear,Amusement,Sadness,Contentment,Amusement,Fear,Sadness,Contentment,Contentment,Fear,Amusement,Sadness
30,Graduate,Engineering,Male,Chile,Fear,Sadness,Amusement,Contentment,Sadness,Amusement,Contentment,Fear,Contentment,Amusement,Sadness,Fear,Fear,Sadness,Amusement,Contentment,Contentment,Amusement,Fear,Sadness,Amusement,Contentment,Sadness,Fear,Contentment,Fear,Sadness,Amusement,Contentment,Fear,Amusement,Sadness,Sadness,Contentment,Amusement,Fear,Fear,Sadness,Amusement,Contentment,Amusement,Sadness,Fear,Contentment,Contentment,Amusement,Sadness,Fear,Contentment,Amusement,Fear,Sadness,Fear,Contentment,Sadness,Amusement,Amusement,Sadness,Fear,Contentment,Contentment,Amusement,Fear,Sadness,Sadness,Fear,Contentment,Amusement,Fear,Sadness,Amusement,Contentment,Amusement,Contentment,Sadness,Fear,Contentment,Fear,Amusement,Sadness
24,Postgraduate,Engineering,Male,Chile,Sadness,Contentment,Amusement,Fear,Sadness,Amusement,Contentment,Fear,Contentment,Amusement,Sadness,Fear,Fear,Sadness,Contentment,Amusement,Amusement,Contentment,Sadness,Fear,Amusement,Contentment,Sadness,Fear,Sadness,Fear,Contentment,Amusement,Contentment,Fear,Amusement,Sadness,Sadness,Amusement,Contentment,Fear,Sadness,Fear,Contentment,Amusement,Fear,Sadness,Contentment,Amusement,Amusement,Contentment,Sadness,Fear,Contentment,Amusement,Sadness,Fear,Fear,Amusement,Sadness,Contentment,Amusement,Sadness,Fear,Contentment,Contentment,Amusement,Sadness,Fear,Fear,Sadness,Amusement,Contentment,Fear,Contentment,Sadness,Amusement,Amusement,Contentment,Fear,Sadness,Sadness,Fear,Amusement,Contentment
21,Secondary,Humanities,Female,Spain,Sadness,Amusement,Contentment,Fear,Amusement,Contentment,Fear,Sadness,Amusement,Contentment,Sadness,Fear,Contentment,Sadness,Fear,Amusement,Amusement,Sadness,Contentment,Fear,Amusement,Contentment,Fear,Sadness,Sadness,Fear,Contentment,Amusement,Amusement,Sadness,Contentment,Fear,Contentment,Amusement,Fear,Sadness,Amusement,Contentment,Sadness,Fear,Amusement,Contentment,Sadness,Fear,Amusement,Contentment,Fear,Sadness,Contentment,Amusement,Sadness,Fear,Fear,Amusement,Sadness,Contentment,Amusement,Fear,Sadness,Contentment,Sadness,Amusement,Contentment,Fear,Amusement,Fear,Sadness,Contentment,Amusement,Sadness,Fear,Contentment,Amusement,Contentment,Fear,Sadness,Sadness,Fear,Amusement,Contentment
