"Timestamp","Edad / Age","Máximo Nivel de estudios alcanzado / Highest level of education attained","Según la OCDE ¿Cuál es el área de conocimiento de la formación alcanzada?","¿Con qué género se identifica?","Nacionalidad de Nacimiento","1ª obra [Versión 1]","1ª obra [Versión 2]","1ª obra [Versión 3]","1ª obra [Versión 4]","2ª obra [Versión 1]","2ª obra [Versión 2]","2ª obra [Versión 3]","2ª obra [Versión 4]","3ª obra [Versión 1]","3ª obra [Versión 2]","3ª obra [Versión 3]","3ª obra [Versión 4]","4ª obra [Versión 1]","4ª obra [Versión 2]","4ª obra [Versión 3]","4ª obra [Versión 4]","5ª obra [Versión 1]","5ª obra [Versión 2]","5ª obra [Versión 3]","5ª obra [Versión 4]","6ª obra [Versión 1]","6ª obra [Versión 2]","6ª obra [Versión 3]","6ª obra [Versión 4]","7ª obra [Versión 1]","7ª obra [Versión 2]","7ª obra [Versión 3]","7ª obra [Versión 4]","8ª obra [Versión 1]","8ª obra [Versión 2]","8ª obra [Versión 3]","8ª obra [Versión 4]","9ª obra [Versión 1]","9ª obra [Versión 2]","9ª obra [Versión 3]","9ª obra [Versión 4]","10ª obra [Versión 1]","10ª obra [Versión 2]","10ª obra [Versión 3]","10ª obra [Versión 4]","11ª obra [Versión 1]","11ª obra [Versión 2]","11ª obra [Versión 3]","11ª obra [Versión 4]","12ª obra [Versión 1]","12ª obra [Versión 2]","12ª obra [Versión 3]","12ª obra [Versión 4]","13ª obra [Versión 1]","13ª obra [Versión 2]","13ª obra [Versión 3]","13ª obra [Versión 4]","14ª obra [Versión 1]","14ª obra [Versión 2]","14ª obra [Versión 3]","14ª obra [Versión 4]","15ª obra [Versión 1]","15ª obra [Versión 2]","15ª obra [Versión 3]","15ª obra [Versión 4]","16ª obra [Versión 1]","16ª obra [Versión 2]","16ª obra [Versión 3]","16ª obra [Versión 4]","17ª obra [Versión 1]","17ª obra [Versión 2]","17ª obra [Versión 3]","17ª obra [Versión 4]","18ª obra [Versión 1]","18ª obra [Versión 2]","18ª obra [Versión 3]","18ª obra [Versión 4]","19ª obra [Versión 1]","19ª obra [Versión 2]","19ª obra [Versión 3]","19ª obra [Versión 4]","20ª obra [Versión 1]","20ª obra [Versión 2]","20ª obra [Versión 3]","20ª obra [Versión 4]"
"2023/07/10 9:05:17 PM GMT-3","","","","","","Miedo","Tristeza","Entretenimiento","Alegría","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Miedo","Tristeza","Alegría","Entretenimiento","Entretenimiento","Alegría","Tristeza","Miedo","Entretenimiento","Alegría","Tristeza","Miedo","Alegría","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Entretenimiento","Tristeza","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Alegría","Entretenimiento","Miedo","Tristeza","Alegría","Entretenimiento","Entretenimiento","Alegría","Tristeza","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Tristeza","Entretenimiento","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Alegría","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Tristeza","Entretenimiento","Entretenimiento","Alegría","Miedo","Tristeza","Tristeza","Miedo","Entretenimiento","Alegría"
"2023/07/11 5:30:44 PM GMT-3","","","","","","Tristeza","Alegría","Miedo","Entretenimiento","Entretenimiento","Miedo","Alegría","Tristeza","Alegría","Entretenimiento","Tristeza","Miedo","Tristeza","Alegría","Miedo","Entretenimiento","Entretenimiento","Alegría","Tristeza","Miedo","Entretenimiento","Alegría","Tristeza","Miedo","Alegría","Tristeza","Entretenimiento","Miedo","Alegría","Miedo","Entretenimiento","Tristeza","Tristeza","Entretenimiento","Alegría","Miedo","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Tristeza","Entretenimiento","Alegría","Entretenimiento","Alegría","Tristeza","Miedo","Alegría","Entretenimiento","Miedo","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Entretenimiento","Tristeza","Miedo","Alegría","Tristeza","Entretenimiento","Miedo","Alegría","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Tristeza","Entretenimiento","Entretenimiento","Tristeza","Miedo","Alegría","Tristeza","Miedo","Entretenimiento","Alegría"
"2023/07/11 5:36:03 PM GMT-3","","","","","","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Miedo","Tristeza","Alegría","Entretenimiento","Alegría","Entretenimiento","Tristeza","Miedo","Entretenimiento","Alegría","Tristeza","Miedo","Tristeza","Miedo","Alegría","Entretenimiento","Alegría","Miedo","Entretenimiento","Tristeza","Tristeza","Alegría","Entretenimiento","Miedo","Miedo","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Alegría","Entretenimiento","Entretenimiento","Alegría","Tristeza","Miedo","Alegría","Entretenimiento","Miedo","Tristeza","Tristeza","Entretenimiento","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Alegría","Alegría","Entretenimiento","Tristeza","Miedo","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Tristeza","Entretenimiento","Tristeza","Entretenimiento","Miedo","Alegría","Tristeza","Miedo","Entretenimiento","Alegría"
"2023/07/11 5:56:52 PM GMT-3","","","","","","Miedo","Alegría","Entretenimiento","Tristeza","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Tristeza","Miedo","Alegría","Entretenimiento","Entretenimiento","Alegría","Tristeza","Miedo","Entretenimiento","Alegría","Tristeza","Miedo","Tristeza","Miedo","Alegría","Entretenimiento","Alegría","Miedo","Entretenimiento","Tristeza","Tristeza","Entretenimiento","Alegría","Miedo","Miedo","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Alegría","Entretenimiento","Entretenimiento","Alegría","Tristeza","Miedo","Alegría","Entretenimiento","Miedo","Tristeza","Tristeza","Entretenimiento","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Alegría","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Entretenimiento","Tristeza","Alegría","Entretenimiento","Alegría","Miedo","Tristeza","Tristeza","Miedo","Entretenimiento","Alegría"
"2023/07/11 6:01:34 PM GMT-3","","","","","","Miedo","Alegría","Entretenimiento","Tristeza","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Miedo","Tristeza","Alegría","Entretenimiento","Entretenimiento","Alegría","Tristeza","Miedo","Entretenimiento","Alegría","Tristeza","Miedo","Alegría","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Entretenimiento","Tristeza","Tristeza","Entretenimiento","Alegría","Miedo","Miedo","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Entretenimiento","Alegría","Alegría","Entretenimiento","Tristeza","Miedo","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Entretenimiento","Tristeza","Alegría","Entretenimiento","Tristeza","Miedo","Alegría","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Tristeza","Entretenimiento","Entretenimiento","Alegría","Miedo","Tristeza","Tristeza","Miedo","Entretenimiento","Alegría"
"2023/07/11 9:36:11 PM GMT-3","","","","","","Miedo","Alegría","Entretenimiento","Tristeza","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Miedo","Tristeza","Alegría","Entretenimiento","Entretenimiento","Alegría","Tristeza","Miedo","Entretenimiento","Alegría","Tristeza","Miedo","Tristeza","Miedo","Alegría","Entretenimiento","Alegría","Miedo","Entretenimiento","Tristeza","Tristeza","Entretenimiento","Alegría","Miedo","Miedo","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Alegría","Entretenimiento","Entretenimiento","Alegría","Tristeza","Miedo","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Entretenimiento","Tristeza","Alegría","Entretenimiento","Tristeza","Miedo","Alegría","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Tristeza","Entretenimiento","Entretenimiento","Alegría","Miedo","Tristeza","Tristeza","Miedo","Entretenimiento","Alegría"
"2023/07/11 10:42:01 PM GMT-3","","","","","","Tristeza","Alegría","Miedo","Entretenimiento","Entretenimiento","Miedo","Alegría","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Tristeza","Alegría","Entretenimiento","Miedo","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Entretenimiento","Alegría","Tristeza","Entretenimiento","Tristeza","Alegría","Miedo","Alegría","Tristeza","Miedo","Entretenimiento","Alegría","Miedo","Entretenimiento","Tristeza","Miedo","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Entretenimiento","Alegría","Entretenimiento","Alegría","Tristeza","Miedo","Alegría","Miedo","Tristeza","Entretenimiento","Tristeza","Miedo","Entretenimiento","Alegría","Miedo","Entretenimiento","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Alegría","Tristeza","Entretenimiento","Miedo","Alegría","Miedo","Entretenimiento","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Alegría","Alegría","Tristeza","Miedo","Entretenimiento"
"2023/07/12 12:01:40 AM GMT-3","","","","","","Tristeza","Entretenimiento","Miedo","Alegría","Entretenimiento","Miedo","Alegría","Tristeza","Entretenimiento","Alegría","Miedo","Tristeza","Miedo","Tristeza","Alegría","Entretenimiento","Alegría","Miedo","Entretenimiento","Tristeza","Entretenimiento","Alegría","Tristeza","Miedo","Entretenimiento","Tristeza","Alegría","Miedo","Alegría","Miedo","Entretenimiento","Tristeza","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Alegría","Entretenimiento","Miedo","Tristeza","Alegría","Entretenimiento","Entretenimiento","Alegría","Tristeza","Miedo","Entretenimiento","Miedo","Tristeza","Alegría","Miedo","Entretenimiento","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Alegría","Alegría","Miedo","Tristeza","Entretenimiento","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Alegría","Entretenimiento","Entretenimiento","Alegría","Tristeza","Miedo","Alegría","Tristeza","Miedo","Entretenimiento"
"2023/07/13 3:03:09 AM GMT-3","","","","","","Tristeza","Alegría","Miedo","Entretenimiento","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Entretenimiento","Tristeza","Miedo","Miedo","Tristeza","Alegría","Entretenimiento","Alegría","Entretenimiento","Tristeza","Miedo","Entretenimiento","Alegría","Miedo","Tristeza","Alegría","Tristeza","Miedo","Entretenimiento","Alegría","Miedo","Entretenimiento","Tristeza","Entretenimiento","Tristeza","Alegría","Miedo","Miedo","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Alegría","Entretenimiento","Entretenimiento","Alegría","Miedo","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Entretenimiento","Tristeza","Miedo","Alegría","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Tristeza","Entretenimiento","Entretenimiento","Alegría","Miedo","Tristeza","Tristeza","Miedo","Entretenimiento","Alegría"
"2023/07/15 10:11:25 PM GMT-3","","","","","","Tristeza","Alegría","Miedo","Entretenimiento","Tristeza","Miedo","Alegría","Entretenimiento","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Tristeza","Alegría","Entretenimiento","Entretenimiento","Alegría","Miedo","Tristeza","Miedo","Alegría","Tristeza","Entretenimiento","Tristeza","Miedo","Alegría","Entretenimiento","Alegría","Miedo","Entretenimiento","Tristeza","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Tristeza","Alegría","Entretenimiento","Alegría","Tristeza","Entretenimiento","Miedo","Miedo","Alegría","Entretenimiento","Tristeza","Entretenimiento","Alegría","Miedo","Tristeza","Tristeza","Entretenimiento","Miedo","Alegría","Entretenimiento","Miedo","Tristeza","Alegría","Alegría","Entretenimiento","Miedo","Tristeza","Miedo","Tristeza","Entretenimiento","Alegría","Miedo","Alegría","Tristeza","Entretenimiento","Entretenimiento","Alegría","Miedo","Tristeza","Alegría","Tristeza","Miedo","Entretenimiento"
